Gylfi Sigurdsson, Island
Rúnar Már Sigurjónsson, Island
Jón Dadi Bödvarsson, Island
Alfred Finnbogason, Island
Eidur Gudjohnsen, Island
Johann Gudmundsson, Island
Kolbeinn Sigthórsson, Island
Gianluigi Buffon, Italien
Federico Marchetti, Italien
Salvatore Sirigu, Italien
Andrea Barzagli, Italien
Leonardo Bonucci, Italien
Giorgio Chiellini, Italien
Matteo Darmian, Italien
Mattia De Sciglio, Italien
Angelo Ogbonna, Italien
Federico Bernardeschi, Italien
Antonio Candreva, Italien
Daniele De Rossi, Italien
Alessandro Florenzi, Italien
Emanuele Giaccherini, Italien
Marco Parolo, Italien
Stefano Sturaro, Italien
Thiago Motta, Italien
Éder, Italien
Stephan El Shaarawy, Italien
Ciro Immobile, Italien
Lorenzo Insigne, Italien
Graziano Pellè, Italien
Simone Zaza, Italien
Roy Carroll, Nordirland
Alan Mannus, Nordirland
Michael McGovern, Nordirland
Chris Baird, Nordirland
Craig Cathcart, Nordirland
Jonny Evans, Nordirland
Lee Hodson, Nordirland
Aaron Hughes, Nordirland
Gareth McAuley, Nordirland
Luke McCullough, Nordirland
Conor McLaughlin, Nordirland
Paddy McNair, Nordirland
Stuart Dallas, Nordirland
Steven Davis, Nordirland
Corry Evans, Nordirland
Shane Ferguson, Nordirland
Josh Magennis, Nordirland
Oliver Norwood, Nordirland
Jamie Ward, Nordirland
Will Grigg, Nordirland
Kyle Lafferty, Nordirland
Niall McGinn, Nordirland
Conor Washington, Nordirland
Artur Boruc, Polen
Łukasz Fabiański, Polen
Wojciech Szczęsny, Polen
Thiago Cionek, Polen
Kamil Glik, Polen
Artur Jędrzejczyk, Polen
Michał Pazdan, Polen
Łukasz Piszczek, Polen
Bartosz Salamon, Polen
Jakub Wawrzyniak, Polen
Jakub Błaszczykowski, Polen
Kamil Grosicki, Polen
Tomasz Jodłowiec, Polen
Bartosz Kapustka, Polen
Grzegorz Krychowiak, Polen
Karol Linetty, Polen
Krzysztof Mączyński, Polen
Sławomir Peszko, Polen
Filip Starzyński, Polen
Piotr Zieliński, Polen
Robert Lewandowski, Polen
Arkadiusz Milik, Polen
Mariusz Stępiński, Polen
Eduardo, Portugal
Anthony Lopes, Portugal
Rui Patrício, Portugal
Bruno Alves, Portugal
Ricardo Carvalho, Portugal
Cédric, Portugal
Eliseu, Portugal
José Fonte, Portugal
Pepe, Portugal
Raphael Guerreiro, Portugal
Adrien Silva, Portugal
André Gomes, Portugal
Danilo, Portugal
João Mário, Portugal
João Moutinho, Portugal
Rafa Silva, Portugal
Renato Sanches, Portugal
Vieirinha, Portugal
William Carvalho, Portugal
Éder, Portugal
Nani, Portugal
Ricardo Quaresma, Portugal
Cristiano Ronaldo, Portugal
Shay Given, Irland
Darren Randolph, Irland
Keiren Westwood, Irland
Cyrus Christie, Irland
Ciaran Clark, Irland
Seamus Coleman, Irland
Shane Duffy, Irland
Richard Keogh, Irland
John O'Shea, Irland
Stephen Ward, Irland
Robbie Brady, Irland
Jeff Hendrick, Irland
Wes Hoolahan, Irland
James McCarthy, Irland
James McClean, Irland
Aiden McGeady, Irland
David Meyler, Irland
Stephen Quinn, Irland
Glenn Whelan, Irland
Robbie Keane, Irland
Shane Long, Irland
Daryl Murphy, Irland
Jon Walters, Irland
Silviu Lung, Rumänien
Costel Pantilimon, Rumänien
Ciprian Tătăruşanu, Rumänien
Vlad Chiricheş, Rumänien
Steliano Filip, Rumänien
Valerică Găman, Rumänien
Dragoş Grigore, Rumänien
Alexandru Măţel, Rumänien
Cosmin Moţi, Rumänien
Răzvan Raţ, Rumänien
Cristian Săpunaru, Rumänien
Alexandru Chipciu, Rumänien
Ovidiu Hoban, Rumänien
Mihai Pintilii, Rumänien
Adrian Popa, Rumänien
Andrei Prepeliţă, Rumänien
Lucian Sânmărtean, Rumänien
Nicolae Stanciu, Rumänien
Gabriel Torje, Rumänien
Denis Alibec, Rumänien
Florin Andone, Rumänien
Claudiu Keșerü, Rumänien
Bogdan Stancu, Rumänien
Igor Akinfeev, Ryssland
Guilherme, Ryssland
Yuri Lodygin, Ryssland
Aleksei Berezutski, Ryssland
Vasili Berezutski, Ryssland
Sergei Ignashevich, Ryssland
Dmitri Kombarov, Ryssland
Roman Neustädter, Ryssland
Georgi Schennikov, Ryssland
Roman Shishkin, Ryssland
Igor Smolnikov, Ryssland
Igor Denisov, Ryssland
Denis Glushakov, Ryssland
Aleksandr Golovin, Ryssland
Oleg Ivanov, Ryssland
Pavel Mamaev, Ryssland
Aleksandr Samedov, Ryssland
Oleg Shatov, Ryssland
Roman Shirokov, Ryssland
Dmitri Torbinski, Ryssland
Artem Dzyuba, Ryssland
Aleksandr Kokorin, Ryssland
Fedor Smolov, Ryssland
Matúš Kozáčik, Slovakien
Ján Mucha, Slovakien
Ján Novota, Slovakien
Ján Ďurica, Slovakien
Norbert Gyömber, Slovakien
Tomáš Hubočan, Slovakien
Peter Pekarík, Slovakien
Kornel Saláta, Slovakien
Milan Škriniar, Slovakien
Martin Škrtel, Slovakien
Dušan Švento, Slovakien
Ondrej Duda, Slovakien
Ján Greguš, Slovakien
Marek Hamšík, Slovakien
Patrik Hrošovský, Slovakien
Juraj Kucka, Slovakien
Róbert Mak, Slovakien
Viktor Pečovský, Slovakien
Miroslav Stoch, Slovakien
Vladimír Weiss, Slovakien
Michal Ďuriš, Slovakien
Adam Nemec, Slovakien
Stanislav Šesták, Slovakien
Iker Casillas, Spanien
David de Gea, Spanien
Sergio Rico, Spanien
César Azpilicueta, Spanien
Marc Bartra, Spanien
Héctor Bellerín, Spanien
Jordi Alba, Spanien
Juanfran, Spanien
Gerard Piqué, Spanien
Sergio Ramos, Spanien
Mikel San José, Spanien
Bruno Soriano, Spanien
Sergio Busquets, Spanien
Cesc Fàbregas, Spanien
Andrés Iniesta, Spanien
Koke, Spanien
David Silva, Spanien
Thiago Alcántara, Spanien
Aritz Aduriz, Spanien
Lucas Vázquez, Spanien
Álvaro Morata, Spanien
Nolito, Spanien
Pedro Rodríguez, Spanien
Patrik Carlgren, Sverige
Andreas Isaksson, Sverige
Robin Olsen, Sverige
Ludwig Augustinsson, Sverige
Andreas Granqvist, Sverige
Pontus Jansson, Sverige
Erik Johansson, Sverige
Victor Lindelöf, Sverige
Mikael Lustig, Sverige
Martin Olsson, Sverige
Jimmy Durmaz, Sverige
Albin Ekdal, Sverige
Erkan Zengin, Sverige
Emil Forsberg, Sverige
Oscar Hiljemark, Sverige
Kim Källström, Sverige
Sebastian Larsson, Sverige
Oscar Lewicki, Sverige
Pontus Wernbloom, Sverige
Marcus Berg, Sverige
John Guidetti, Sverige
Zlatan Ibrahimović, Sverige
Emir Kujovic, Sverige
Roman Bürki, Schweiz
Marwin Hitz, Schweiz
Yann Sommer, Schweiz
Johan Djourou, Schweiz
Nico Elvedi, Schweiz
Michael Lang, Schweiz
Stephan Lichtsteiner, Schweiz
François Moubandje, Schweiz
Ricardo Rodríguez, Schweiz
Fabian Schär, Schweiz
Steve von Bergen, Schweiz
Valon Behrami, Schweiz
Blerim Džemaili, Schweiz
Gelson Fernandes, Schweiz
Fabian Frei, Schweiz
Xherdan Shaqiri, Schweiz
Granit Xhaka, Schweiz
Denis Zakaria, Schweiz
Eren Derdiyok, Schweiz
Breel Embolo, Schweiz
Admir Mehmedi, Schweiz
Haris Seferović, Schweiz
Shani Tarashaj, Schweiz
Harun Tekin, Turkiet
Onur Kıvrak, Turkiet
Volkan Babacan, Turkiet
Ahmet Çalık, Turkiet
Gökhan Gönül, Turkiet
Hakan Balta, Turkiet
İsmail Köybaşı, Turkiet
Semih Kaya, Turkiet
Şener Özbayraklı, Turkiet
Arda Turan, Turkiet
Caner Erkin, Turkiet
Hakan Çalhanoğlu, Turkiet
Mehmet Topal, Turkiet
Nuri Şahin, Turkiet
Oğuzhan Özyakup, Turkiet
Olcay Şahan, Turkiet
Ozan Tufan, Turkiet
Selçuk İnan, Turkiet
Volkan Şen, Turkiet
Yunus Mallı, Turkiet
Burak Yılmaz, Turkiet
Cenk Tosun, Turkiet
Emre Mor, Turkiet
Denys Boyko, Ukraina
Andriy Pyatov, Ukraina
Mykyta Shevchenko, Ukraina
Bohdan Butko, Ukraina
Artem Fedetskiy, Ukraina
Yevhen Khacheridi, Ukraina
Olexandr Kucher, Ukraina
Yaroslav Rakitskiy, Ukraina
Vyacheslav Shevchuk, Ukraina
Denys Garmash, Ukraina
Olexandr Karavaev, Ukraina
Yevhen Konoplyanka, Ukraina
Viktor Kovalenko, Ukraina
Ruslan Rotan, Ukraina
Serhiy Rybalka, Ukraina
Taras Stepanenko, Ukraina
Serhiy Sydorchuk, Ukraina
Anatoliy Tymoshchuk, Ukraina
Andriy Yarmolenko, Ukraina
Olexandr Zinchenko, Ukraina
Pylyp Budkivskiy, Ukraina
Yevhen Seleznyov, Ukraina
Roman Zozulya, Ukraina
Owain Fôn Williams, Wales
Wayne Hennessey, Wales
Danny Ward, Wales
James Chester, Wales
James Collins, Wales
Ben Davies, Wales
Chris Gunter, Wales
Jazz Richards, Wales
Neil Taylor, Wales
Ashley Williams, Wales
Joe Allen, Wales
David Edwards, Wales
Andy King, Wales
Joe Ledley, Wales
Aaron Ramsey, Wales
David Vaughan, Wales
Jonathan Williams, Wales
Gareth Bale, Wales
Simon Church, Wales
David Cotterill, Wales
Hal Robson-Kanu, Wales
Sam Vokes, Wales
George Williams, Wales
